PAT,pat,RED,red,IR,ir,TEMP,temp,env,real_imp,img_imp,REAL_IMP,IMG_IMP
,32146,,22575,,-32605,,3477.0,2781.0,,,473.0,47933.0
,32142,,22570,,-32604,,3477.0,2780.0,,,448.0,47936.0
,32141,,22580,,-32578,,3477.0,2781.0,,,463.0,47922.0
,32139,,22581,,-32560,,3476.0,2781.0,,,465.0,47950.0
,32146,,22594,,-32565,,3479.0,2779.0,,,453.0,47927.0
,32146,,22529,,-32759,,3477.0,2781.0,,,465.0,47952.0
,32149,,22585,,-32573,,3477.0,2780.0,,,460.0,47934.0
,32150,,22560,,-32584,,3476.0,2780.0,,,566.0,47928.0
,32178,,22553,,-32616,,3479.0,2780.0,,,554.0,47949.0
,32225,,22551,,-32667,,3477.0,2781.0,,,454.0,47939.0
,32259,,22519,,-32712,,3477.0,2779.0,,,511.0,47931.0
,32259,,22543,,-32700,,3477.0,2780.0,,,536.0,47963.0
,32280,,22490,,32760,,3477.0,2780.0,,,449.0,47941.0
,32303,,22477,,32690,,3477.0,2780.0,,,458.0,47945.0
,32310,,22553,,-32672,,3479.0,2781.0,,,518.0,47942.0
,32322,,22446,,32605,,3477.0,2780.0,,,500.0,47972.0
,32327,,22421,,32541,,3475.0,2780.0,,,454.0,47950.0
,32327,,22412,,32475,,3476.0,2781.0,,,500.0,47970.0
,32327,,22561,,-32636,,3477.0,2780.0,,,449.0,47949.0
,32340,,22392,,32411,,3477.0,2780.0,,,462.0,47975.0
,32345,,22372,,32361,,3479.0,2780.0,,,443.0,47954.0
,32332,,22362,,32324,,3473.0,2781.0,,,529.0,47940.0
,32341,,22355,,32280,,3477.0,2780.0,,,541.0,47970.0
,32341,,22340,,32246,,3476.0,2780.0,,,533.0,47948.0
,32322,,22594,,-32565,,3477.0,2779.0,,,523.0,47973.0
,32324,,22342,,32226,,3475.0,2780.0,,,455.0,47981.0
,32327,,22332,,32200,,3476.0,2780.0,,,476.0,47948.0
,32320,,22324,,32188,,3477.0,2780.0,,,544.0,47955.0
,32321,,22317,,32169,,3479.0,2780.0,,,472.0,47978.0
,32321,,22321,,32169,,3481.0,2780.0,,,532.0,47962.0
,32309,,22519,,-32712,,3477.0,2779.0,,,460.0,47982.0
,32307,,22319,,32159,,3476.0,2779.0,,,557.0,47962.0
,32300,,22322,,32150,,3479.0,2779.0,,,436.0,47979.0
,32297,,22317,,32159,,3476.0,2780.0,,,493.0,47998.0
,32285,,22321,,32161,,3479.0,2781.0,,,514.0,47978.0
,32285,,22326,,32160,,3479.0,2780.0,,,456.0,47974.0
,32276,,22412,,32475,,3477.0,2777.0,,,509.0,48006.0
,32281,,22322,,32165,,3477.0,2780.0,,,526.0,47997.0
,32271,,22328,,32181,,3475.0,2779.0,,,440.0,47984.0
,32263,,22337,,32186,,3477.0,2784.0,,,412.0,48010.0
,32260,,22341,,32187,,3477.0,2781.0,,,515.0,47997.0
,32260,,22331,,32205,,3477.0,2780.0,,,522.0,47986.0
,32263,,22340,,32246,,3476.0,2781.0,,,454.0,48012.0
,32263,,22332,,32222,,3477.0,2780.0,,,439.0,48005.0
,32247,,22339,,32230,,3479.0,2780.0,,,512.0,48018.0
,32250,,22355,,32230,,3477.0,2781.0,,,464.0,48005.0
,32244,,22358,,32246,,3475.0,2781.0,,,477.0,48033.0
,32244,,22349,,32251,,3476.0,2779.0,,,413.0,48047.0
,32248,,22321,,32169,,3477.0,2780.0,,,486.0,48022.0
,32247,,22360,,32249,,3476.0,2780.0,,,414.0,48065.0
,32249,,22353,,32268,,3476.0,2781.0,,,517.0,48104.0
,32249,,22365,,32270,,3476.0,2780.0,,,431.0,48426.0
,32243,,22356,,32281,,3476.0,2783.0,,,533.0,48274.0
,32243,,22321,,32161,,3476.0,2780.0,,,546.0,48490.0
,32242,,22359,,32280,,3476.0,2781.0,,,452.0,48460.0
,32230,,22359,,32295,,3476.0,2781.0,,,540.0,48541.0
,32235,,22363,,32291,,3476.0,2779.0,,,780.0,50525.0
,32235,,22366,,32305,,3477.0,2783.0,,,673.0,50205.0
,32222,,22368,,32305,,3476.0,2779.0,,,858.0,51070.0
,32222,,22341,,32187,,3475.0,2781.0,,,698.0,50387.0
,32217,,22369,,32321,,3477.0,2781.0,,,828.0,50408.0
,32223,,22378,,32334,,3476.0,2783.0,,,710.0,50470.0
,32222,,22376,,32348,,3479.0,2780.0,,,803.0,50274.0
,32218,,22382,,32360,,3476.0,2780.0,,,692.0,50324.0
,32217,,22386,,32365,,3476.0,2780.0,,,778.0,50378.0
,32217,,22358,,32246,,3475.0,2777.0,,,753.0,50799.0
,32212,,22387,,32374,,3477.0,2780.0,,,831.0,51105.0
,32205,,22396,,32391,,3476.0,2781.0,,,862.0,51046.0
,32224,,22400,,32398,,3476.0,2783.0,,,852.0,51087.0
,32212,,22400,,32422,,3475.0,2783.0,,,901.0,51306.0
,32207,,22403,,32447,,3476.0,2780.0,,,964.0,51514.0
,32207,,22356,,32281,,3476.0,2779.0,,,604.0,49581.0
,32205,,22419,,32464,,3477.0,2781.0,,,642.0,49653.0
,32204,,22429,,32473,,3476.0,2780.0,,,655.0,49660.0
,32203,,22422,,32480,,3476.0,2781.0,,,765.0,49700.0
,32201,,22427,,32496,,3476.0,2781.0,,,751.0,49795.0
,32194,,22439,,32514,,3476.0,2781.0,,,697.0,49862.0
,32194,,22368,,32305,,3476.0,2779.0,,,689.0,49909.0
,32182,,22449,,32515,,3475.0,2781.0,,,774.0,49954.0
,32193,,22439,,32544,,3476.0,2781.0,,,777.0,49932.0
,32178,,22445,,32545,,3477.0,2779.0,,,668.0,49952.0
,32172,,22455,,32567,,3477.0,2781.0,,,768.0,50026.0
,32176,,22451,,32586,,3475.0,2780.0,,,750.0,50022.0
