pat,red,ir,real_imp,img_imp,temp,env
24316,22302.0,32758.0,6460.0,61420.0,3550.0,3196.0
24317,22323.0,32728.0,6465.0,61420.0,3551.0,3197.0
24270,22342.0,32711.0,6452.0,61415.0,3551.0,3196.0
24270,22335.0,32669.0,6473.0,61421.0,3551.0,3199.0
24286,22353.0,32648.0,6457.0,61407.0,3548.0,3197.0
24286,22364.0,32639.0,6465.0,61416.0,3548.0,3199.0
24280,22360.0,32624.0,6469.0,61422.0,3548.0,3196.0
24280,22356.0,32630.0,6460.0,61411.0,3548.0,3196.0
24290,22363.0,32624.0,6454.0,61407.0,3550.0,3199.0
24284,22356.0,32630.0,6450.0,61419.0,3550.0,3197.0
24283,22366.0,32627.0,6453.0,61419.0,3548.0,3197.0
24283,22367.0,32624.0,6460.0,61416.0,3548.0,3199.0
24184,22365.0,32624.0,6462.0,61422.0,3552.0,3200.0
24235,22368.0,32633.0,6462.0,61425.0,3550.0,3197.0
24259,22373.0,32614.0,6467.0,61428.0,3547.0,3196.0
24259,22371.0,32598.0,6464.0,61413.0,3551.0,3199.0
24249,22375.0,32593.0,6462.0,61417.0,3550.0,3197.0
24278,22374.0,32579.0,6459.0,61405.0,3550.0,3199.0
24285,22386.0,32575.0,6463.0,61406.0,3548.0,3199.0
24285,22393.0,32541.0,6458.0,61417.0,3550.0,3196.0
24255,22394.0,32537.0,6468.0,61416.0,3550.0,3197.0
24269,22395.0,32529.0,6461.0,61410.0,3548.0,3199.0
24267,22409.0,32503.0,6447.0,61414.0,3548.0,3200.0
24267,22416.0,32504.0,6460.0,61419.0,3550.0,3199.0
24269,22414.0,32477.0,6464.0,61412.0,3550.0,3197.0
24268,22420.0,32470.0,6470.0,61408.0,3550.0,3196.0
24273,22428.0,32448.0,6460.0,61417.0,3550.0,3197.0
24273,22431.0,32422.0,6473.0,61419.0,3548.0,3199.0
24308,22440.0,32396.0,6467.0,61414.0,3548.0,3197.0
24278,22442.0,32386.0,6447.0,61412.0,3550.0,3199.0
24296,22452.0,32368.0,6459.0,61417.0,3552.0,3199.0
24296,22460.0,32363.0,6457.0,61412.0,3550.0,3197.0
24346,22466.0,32345.0,6455.0,61420.0,3550.0,3197.0
24360,22464.0,32327.0,6474.0,61416.0,3551.0,3197.0
24379,22472.0,32316.0,6463.0,61414.0,3550.0,3197.0
24379,22475.0,32280.0,6470.0,61411.0,3548.0,3197.0
24378,22486.0,32256.0,6471.0,61406.0,3548.0,3199.0
24364,22487.0,32248.0,6467.0,61411.0,3550.0,3199.0
24308,22494.0,32213.0,6452.0,61421.0,3550.0,3200.0
24308,22504.0,32227.0,6463.0,61408.0,3550.0,3199.0
24331,22500.0,32238.0,6468.0,61422.0,3550.0,3199.0
24326,22491.0,32290.0,6455.0,61420.0,3550.0,3196.0
