PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
24426,9096,2911.0,712,,,,,,,,2.0,2.0
24418,9104,2909.0,728,,,,,,,,1.0,0.0
24426,9064,2912.0,728,,,,,,,,2.0,1.0
24419,9104,2909.0,744,,,,,,,,1.0,0.0
24418,9104,2912.0,744,,,,,,,,2.0,1.0
24419,9112,2911.0,728,,,,,,,,1.0,0.0
24420,9104,2909.0,736,,,,,,,,2.0,2.0
24397,9088,2912.0,728,,,,,,,,1.0,0.0
24409,9096,2911.0,728,,,,,,,,2.0,1.0
24411,9096,2911.0,720,,,,,,,,1.0,0.0
24408,9096,2909.0,720,,,,,,,,2.0,2.0
24362,9064,2911.0,720,,,,,,,,0.0,0.0
24376,9104,2914.0,744,,,,,,,,2.0,1.0
24345,9080,2912.0,720,,,,,,,,0.0,0.0
24350,9096,2911.0,712,,,,,,,,2.0,2.0
24353,9096,2912.0,720,,,,,,,,1.0,0.0
24359,9104,2911.0,728,,,,,,,,2.0,2.0
24357,9080,2911.0,736,,,,,,,,1.0,0.0
24369,9088,2911.0,720,,,,,,,,2.0,2.0
24399,9088,2911.0,736,,,,,,,,1.0,0.0
24443,9112,2909.0,720,,,,,,,,2.0,1.0
24452,9104,2914.0,728,,,,,,,,1.0,0.0
24469,9104,2912.0,752,,,,,,,,2.0,1.0
24493,9112,2909.0,712,,,,,,,,1.0,0.0
24493,9104,2912.0,712,,,,,,,,2.0,1.0
24494,9104,2911.0,720,,,,,,,,1.0,0.0
24498,9104,2912.0,704,,,,,,,,2.0,1.0
24499,9104,2911.0,712,,,,,,,,0.0,0.0
24463,9096,2911.0,736,,,,,,,,2.0,2.0
24497,9096,2912.0,736,,,,,,,,1.0,0.0
24494,9096,2911.0,712,,,,,,,,2.0,2.0
24463,9120,2909.0,728,,,,,,,,0.0,65535.0
24459,9088,2914.0,720,,,,,,,,2.0,2.0
24422,9112,2911.0,728,,,,,,,,1.0,0.0
24429,9088,2912.0,720,,,,,,,,2.0,1.0
24424,9096,2911.0,728,,,,,,,,0.0,0.0
24417,9096,2911.0,728,,,,,,,,2.0,1.0
24417,9104,2911.0,712,,,,,,,,1.0,0.0
24170,9104,2911.0,736,,,,,,,,2.0,1.0
24453,9112,2908.0,728,,,,,,,,1.0,0.0
24444,9112,2912.0,744,,,,,,,,2.0,2.0
24442,9104,2911.0,720,,,,,,,,1.0,0.0
24443,9088,2912.0,736,,,,,,,,2.0,2.0
24428,9128,2909.0,720,,,,,,,,0.0,0.0
24422,9096,2909.0,728,,,,,,,,2.0,2.0
24422,9104,2912.0,744,,,,,,,,0.0,0.0
24415,9104,2909.0,712,,,,,,,,2.0,2.0
24419,9088,2911.0,728,,,,,,,,1.0,65535.0
24403,9096,2909.0,736,,,,,,,,2.0,1.0
24409,9096,2911.0,712,,,,,,,,1.0,0.0
24412,9088,2914.0,728,,,,,,,,2.0,2.0
24391,9104,2914.0,720,,,,,,,,1.0,0.0
24387,9104,2912.0,736,,,,,,,,2.0,2.0
24354,9104,2909.0,712,,,,,,,,1.0,0.0
24354,9096,2912.0,712,,,,,,,,2.0,2.0
24364,9120,2912.0,728,,,,,,,,1.0,0.0
24358,9080,2915.0,736,,,,,,,,2.0,1.0
24354,9088,2912.0,728,,,,,,,,1.0,65535.0
24346,9112,,736,,,,,,,,2.0,1.0
24379,9104,,728,,,,,,,,0.0,0.0
24381,9112,,736,,,,,,,,2.0,2.0
24376,9120,,720,,,,,,,,0.0,0.0
24379,9112,,728,,,,,,,,2.0,1.0
24373,9104,,728,,,,,,,,1.0,0.0
24369,9096,,712,,,,,,,,2.0,2.0
24369,9104,,728,,,,,,,,1.0,0.0
24369,9096,,720,,,,,,,,2.0,2.0
24368,9112,,712,,,,,,,,1.0,0.0
24356,9080,,720,,,,,,,,2.0,1.0
24316,9096,,744,,,,,,,,0.0,65535.0
24348,9096,,728,,,,,,,,2.0,2.0
24316,9136,,736,,,,,,,,1.0,0.0
24312,9104,,736,,,,,,,,2.0,2.0
24284,9096,,736,,,,,,,,0.0,0.0
24283,9096,,720,,,,,,,,2.0,2.0
24271,9096,,728,,,,,,,,1.0,0.0
24277,9096,,728,,,,,,,,2.0,1.0
24267,9120,,736,,,,,,,,1.0,0.0
24259,9104,,736,,,,,,,,2.0,1.0
24281,9096,,744,,,,,,,,1.0,0.0
24310,9080,,720,,,,,,,,2.0,1.0
24306,9120,,720,,,,,,,,1.0,0.0
24309,9096,,728,,,,,,,,2.0,2.0
24305,9088,,736,,,,,,,,1.0,0.0
24293,9088,,720,,,,,,,,2.0,2.0
24291,9104,,728,,,,,,,,0.0,65535.0
24290,9104,,720,,,,,,,,2.0,1.0
24290,9080,,736,,,,,,,,1.0,0.0
24290,9088,,696,,,,,,,,2.0,1.0
24269,9072,,712,,,,,,,,1.0,0.0
24285,9104,,712,,,,,,,,2.0,1.0
24258,9096,,744,,,,,,,,1.0,0.0
24252,9104,,712,,,,,,,,2.0,2.0
24223,9096,,728,,,,,,,,0.0,0.0
24224,9096,,720,,,,,,,,2.0,2.0
24223,9096,,728,,,,,,,,1.0,0.0
24224,9096,,728,,,,,,,,2.0,1.0
24218,9104,,736,,,,,,,,1.0,0.0
24183,9104,,720,,,,,,,,2.0,1.0
24267,9072,,728,,,,,,,,0.0,0.0
24233,9112,,720,,,,,,,,2.0,2.0
24264,9112,,736,,,,,,,,0.0,0.0
24248,9120,,712,,,,,,,,2.0,2.0
24259,9096,,720,,,,,,,,1.0,0.0
24248,9112,,752,,,,,,,,2.0,1.0
24244,9080,,728,,,,,,,,0.0,0.0
24245,9080,,720,,,,,,,,2.0,2.0
24241,9104,,720,,,,,,,,0.0,0.0
24241,9120,,720,,,,,,,,2.0,1.0
24239,9072,,720,,,,,,,,1.0,0.0
24208,9112,,704,,,,,,,,2.0,2.0
24219,9096,,728,,,,,,,,1.0,65535.0
24212,9080,,744,,,,,,,,1.0,2.0
24188,9112,,744,,,,,,,,1.0,0.0
24192,9112,,728,,,,,,,,3.0,2.0
24199,9112,,720,,,,,,,,1.0,0.0
24200,9096,,720,,,,,,,,2.0,2.0
24205,9104,,736,,,,,,,,0.0,0.0
24198,9120,,712,,,,,,,,2.0,1.0
24264,9120,,728,,,,,,,,1.0,0.0
24258,9096,,728,,,,,,,,2.0,1.0
24290,9104,,720,,,,,,,,1.0,0.0
24295,9088,,736,,,,,,,,2.0,2.0
24317,9104,,728,,,,,,,,0.0,0.0
24316,9104,,720,,,,,,,,3.0,2.0
24316,9112,,712,,,,,,,,0.0,0.0
24316,9088,,704,,,,,,,,2.0,1.0
24322,9096,,728,,,,,,,,1.0,0.0
24319,9096,,728,,,,,,,,2.0,1.0
24318,9088,,728,,,,,,,,1.0,0.0
24290,9104,,728,,,,,,,,2.0,2.0
